id,label
2432018480,alvinara1234
2436764664,agit2530
2439316368,Rezekiballon
2456958924,antin1987
2461536675,dona_riki12
2476319472,DiskominfoMKS
2481604064,koerniaseep
2489107034,ADPratama3
2494045658,Firmansyahhh28
2497342968,hasan
2520073063,ghifariits
2532085091,teppiepersz
2534712018,LiaAnnabhani
2570214191,ssurur4
2581522560,azrilshiva
2588635674,leivanter
2592311312,kikitiaraa
2601017347,tina_L03
2607464850,dwawandh
2614834184,PanenSaham
2617466382,diner_16
2656794199,muhtadi_ilham
2692774170,bungaardyn
2721055424,artoogy
2725209464,OscarAndry20
2737358840,brahmani_264
2777807606,Na_Aleeya
2785228388,masihfajar
2789615713,rina_ivongroup
2802812322,mirzazanufa
2823236154,Tekarion
2866798189,kkeongratjun
2892733706,Menara62
2920216747,hanna03afifah
2930415702,MeeeKhu
2932955808,strawbbyss_
2937888488,meliaasp
2962622095,fitrajatmiko_
2982420716,AneSiapa
2988704069,lpmaarifnu
3000832766,seokouri
3019719920,koenhan
3029106588,lilsdw00n
3059813407,melmeansnada
3073932894,suLiminKha
3081195862,mintsfaby
3088062864,IsatOoredooISTC
3098599274,dekkeyulia
3099188544,Baby_Azula
3102773768,DediSutadi
3104849749,bongcabe
3113212893,fillecultivee
3129717788,calphastor
3131048062,masterilmi83
3138164060,azahrakdavra
3144659070,akuntidur
3165148650,novitamnesia
3165935791,mifaaa
3184146601,atletsmackdown
3184723542,KemenBUMN
3187145372,yaudahlahpasrah
3193120159,denkaobabel
3194047494,aelapyuu
3262569906,deamoekti
3266660862,M00NLINES
3266994066,RirisMaulidiyah
3269588773,arkanslife
3271114957,aftarfadilah
3272816474,azizkomputer
3288231804,nurfajrihadi
3301538405,vlowertae
3308687323,PendukungTimnas
3320092303,Dhotachin
3332287233,khafid963
3343590853,Wahyu_Kalis
3355706668,love
3391398021,Itjen_Kemdikbud
3435602904,FiliaFilifilia
3477788598,PooTeletubbies4
3488312593,muji005
3616332019,UMMfess
3697129159,rudy_susana
4066245673,deniseayamgoyen
4092647712,yuniA112015
4144624752,redgilangnews
4184722512,dimasab06377785
4187275698,TirtoID
4201441519,watermaelons
4461068178,lfelixbgr
4490315233,adeainun1104
4707420859,humaskepriprov
4722272047,irvanababil10
4767124632,Syafa_Devita17
4839252042,itsirli
4875997016,dinimeilailia
4892164430,Kec_Larangan
4923019812,pusdatin
712276389286686721,RakyatMerdeka99
713296414982340608,deffryadi
720599813079896064,risart8
725525892651339777,Yudi_Aspianta1
729229672349765632,reniefu
733470255104675840,indomiegvrl__
735444618515353601,maximus_syukur
740117078514900993,hgeub
742765756945813504,BaliEkbis
745490115066109952,hell_o_sydney
750907235316957184,hasanah11_hana
753041497109528578,kniukemdikbud
757585927988350976,zephyrclous
758971286563328000,aulyarwdh
759692754985242625,kumparan
766801074200023040,bluewskies
768731685575729152,deinschatzs
770109696145514496,_alfiansantosa
772359072901246976,frdchknx
772369903542153217,SephiaRuni
772958531188162560,maryam_yaam
773041156791808000,Sidikprabowoo
773690742669795328,Moh4Ridloh
774623540066648064,remenesence
776306895514501120,dindik_jatim
782035211567570944,mifda20
782936186939580416,haechanana
797062480220418048,AGUSINDONESIA2
803235787139448832,mendiknas
803796558898544640,AlvinAl18
807137046317780993,sudrajatasep17
809758186479566848,PAUDDikdasmen
811322074098610176,sfadhilap
814289985595547648,dizzalad1
814643372346331136,fiki_fachrudin
817231318408830977,nisrinacy
820687535244382212,letmeguessing
823823431359557633,viohrnwn19
828978994896785410,rahmangelia83
829912272592003072,alightlily
830563305970233344,man_sambatman
832210014458646528,bagas_alka
833217376271241216,fataahusni
835415754245722112,bcih47
838298031132811264,ashpodeI
838777607915130882,R_GUN4W4N
841586689977991168,official_unila
841670200923582466,mohammad_sonni7
843715829707431937,tilitibis
843748398435987456,dedenbayhakii
846318338955366405,pemuditersesatt
849799685258657792,kupastuntasnew
854212466762326016,aintgoodz
855008917247545344,ditjendikti
860132671673913345,blueorangeatae
860828858513211392,sanitarianbdg
863337891019149312,sibukhqq
867347845354893312,imnotcrybaby
868460733943513092,firstkap
873461336373460992,Ramadhani439
874558344593195008,validnewsid
876181904608837632,raniaamdw
876746362422829056,0wasyanaxx
883689372633006085,tekarion_
884419997329571840,jimmiehime
884736227064266752,MeryAndinis
885230157560033280,GunawanSao
886813456875143168,FaktaNew5
891564038781415424,MasMenteri
892401236590305280,meiyourenzai
892775755972620289,ZiGa_ID
893313470208253953,SyaifulHooda
893748645425668097,yhnssi6
900352924307513345,smks_jannah
901992856956440576,afnindyaaa
902016018314174464,Ancibb
902122958918963200,TubagusRidho6
903229259417739265,errizqidc
903579621395804160,nabilaaw
903835939683704836,pinkapinkiii
905284959891546115,ahdini_
907396004449738752,dit_sma
911236861498032128,youniverssseee
913060739249725447,santripanglima
917440593877278720,xxxchan26
917675732079329280,youremyetoile
917735162300981248,fathurizalhbllh
920287659246862338,ludecaglia
926295343347654656,heiiarie
928308639315648512,AREAJULID
928467531278385152,bentengPerKaSa1
929988287321686018,pinkirsche
930214090714234881,barkajitSIM
935473170718408704,sambatngantiopo
936146334268121093,patrisir7
937347722062970880,nanaminiowns
941916333301567488,Disdik_DKI
946213890139942912,arrazid7
946233063394045952,lexspecialish
947474964378148864,teropongmetro
948155111917871104,amiwonit
948778579101302787,RadioMBSFMJogja
949525285828833280,JOINLampung
951894346164350977,NoviNurana
952353381405753345,SuryaSa45785975
954735710342270976,Yudie48092255
955012357503139841,Innerrchiildd
955978777628045312,bethiiiiii
956554895305277440,kalendshyaa
958585682758438912,BudiEmEm
959660221143461889,pusdat
961154639482646528,pengulingguling
961555558200299520,captbahng
963260986806362113,shaukaid
964814826462527488,rijalhf
969209559653822469,JefriJogo
969453284753731584,AaNon32
970501050430967808,manusia
971781658679521287,Bonobonoya97
976472787337428993,t0kechang
