,Community,Size of Community
62,"['ctlyanaisy', 'reddwaarf']",2
63,"['parskuy', 'milleniangela']",2
64,"['Junjuna77', 'feliciasung']",2
65,"['sarsapilaxx', 'jelijelya']",2
66,"['blueorangeatae', 'iwuftaehyung2']",2
67,"['Akb48kurangi24', 'shaazlly']",2
68,"['hariankompas', 'megandikka']",2
69,"['biashuwang', 'Isfiah']",2
70,"['fdlhendri', 'rasaasazahra']",2
71,"['tryingmabestt', 'weneebear']",2
72,"['JajangRidwanK', 'bukik']",2
73,"['hyunmilkteaa', 'hanzdoow']",2
74,"['caralatte95', 'picapris']",2
75,"['karinajaaa', 'sbyfess']",2
76,"['wooniqlo', 'pyroxmite']",2
77,"['imamprihadiyoko', 'Menara62']",2
78,"['overthingqueen', 'Askrlfess']",2
79,"['dyahayusaviraa', 'vaneeaye']",2
80,"['mystery_risuke', 'meiymd09']",2
81,"['anbarnsrn', 'ZhuZhuss']",2
82,"['ryzentzy', 'aingmawng']",2
83,"['yunisztya', 'ChaliChal4']",2
84,"['yasinassh', 'XgalihedgeX']",2
85,"['deyna_yulian', 'Astrayesa']",2
86,"['yovrmine', 'AzizArrazi']",2
87,"['bima_ajip', 'mahoman']",2
88,"['redgilangnews', 'zulfikrivokal']",2
89,"['BEMUNS', 'dheaa_wd']",2
90,"['walinaa__', 'radenrauf']",2
91,"['cuteeeboyyyy', 'GunawanSao']",2
92,"['wmazing43', 'unnesmenfess']",2
93,"['skzsday', 'hyunjeen_angel']",2
94,"['innerchildteha', 'phevee']",2
95,"['nanaminiowns', 'DUARRRRRRRJAE']",2
96,"['UGMYogyakarta', 'user_not_found']",2
97,"['aufaaarief', 'aisyaahua']",2
98,"['calaisaltea', 'ohcasr']",2
99,"['taynewforlyfe', 'itsmytaynew']",2
100,"['natochino', 'awnyaii']",2
101,"['fantasyfinder2', 'Akaseijuu']",2
102,"['immabouzz', 'llullabyflw']",2
103,"['gabrielsnpr', 'darmansu']",2
104,"['audizarachma', 'yektiwikan']",2
105,"['ani_syabani', 'RiaRicis']",2
106,"['hanbinawdz', 'mocipeachy']",2
107,"['ucpprztyfvck', 'azilaster']",2
108,"['YFebriani', 'kidsalazar']",2
109,"['ulfahdh_', 'fwlaan']",2
110,"['sunpile_', 'douniee']",2
111,"['luciusweasley', 'bemkmunnes']",2
112,"['Yugyeomiemine', 'pirdahhtuan']",2
113,"['Terajana_313', 'dedward']",2
114,"['bblue_breeze', 'gottalit']",2
115,"['Google', 'HiiiLee']",2
116,"['nctaichan', 'arechirasyid']",2
117,"['PresideNetizen', 'BestFriendInJC']",2
118,"['Pa0GvL', 'evanchowoodzz']",2
119,"['meiyourenzai', 'user_not_found']",2
120,"['user_not_found', 'dyodoyy']",2
121,"['outercue', 'tilitibis']",2
122,"['bagas_alka', 'kaesangp']",2
123,"['19whatissunset', 'N']",2
124,"['zalmaretar', 'Helianthusisme']",2
125,"['pengenwisudaaja', 'arzabila']",2
126,"['udahanduluya', 'mirzazanufa']",2
127,"['iam_angelxx', 'iron']",2
128,"['dDeonuuya', 'ENHYPENLUVS']",2
129,"['adityabramasta', 'benwill04']",2
